t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20772,1,0.063214,1.00733,-0.293277,-0.0630777,-0.965803,0.250396,-0.0644494,0.971016,-0.321473,0.0642844,-0.969196,0.317995,0,0,-20.5458,0,0,-20.131,0,0,-29.869,0,0,-29.4542
20776.3,1,0.0632183,1.0074,-0.293415,-0.0630824,-0.965863,0.250504,-0.064428,0.970766,-0.320998,0.064259,-0.968899,0.317428,0,0,-20.524,0,0,-20.159,0,0,-29.841,0,0,-29.476
20780,1,0.0632247,1.00747,-0.293526,-0.0630845,-0.9659,0.25057,-0.0644045,0.970493,-0.320477,0.0642317,-0.968577,0.316816,0,0,-20.5573,0,0,-20.1389,0,0,-29.8611,0,0,-29.4427
20784.2,1,0.0632271,1.00751,-0.293597,-0.0630855,-0.965909,0.250585,-0.0643791,0.970196,-0.319912,0.0642023,-0.968232,0.316159,0,0,-20.6893,0,0,-20.1403,0,0,-29.8597,0,0,-29.3107
20788.1,1,0.0632275,1.00752,-0.293624,-0.0630817,-0.9659,0.250567,-0.0643517,0.969875,-0.3193,0.064171,-0.967863,0.315456,0,0,-20.6705,0,0,-20.1593,0,0,-29.8407,0,0,-29.3295
20792.2,1,0.063225,1.00751,-0.293608,-0.0630788,-0.965857,0.250491,-0.0643222,0.96953,-0.318644,0.0641377,-0.96747,0.314708,0,0,-20.6765,0,0,-20.2677,0,0,-29.7323,0,0,-29.3235
20796,1,0.0632223,1.00747,-0.293539,-0.0630731,-0.965792,0.250373,-0.0642908,0.969162,-0.317941,0.0641024,-0.967053,0.313913,0,0,-20.6541,0,0,-20.2757,0,0,-29.7243,0,0,-29.3459
20800,1,0.0632168,1.00741,-0.293428,-0.0630675,-0.965695,0.250201,-0.0642574,0.968769,-0.317194,0.0640652,-0.966613,0.313074,0,0,-20.6992,0,0,-20.2066,0,0,-29.7934,0,0,-29.3008
20804.2,1,0.0632114,1.00732,-0.293263,-0.0630584,-0.965577,0.249989,-0.064222,0.968352,-0.3164,0.0640259,-0.966148,0.312188,0,0,-20.7751,0,0,-20.2354,0,0,-29.7646,0,0,-29.2249
20808.2,1,0.0632026,1.00721,-0.293059,-0.0630474,-0.965433,0.249732,-0.0641846,0.967912,-0.315561,0.0639847,-0.965659,0.311257,0,0,-20.7517,0,0,-20.2436,0,0,-29.7564,0,0,-29.2483
20812.1,1,0.063192,1.00707,-0.29281,-0.0630346,-0.965266,0.249431,-0.0641452,0.967447,-0.314677,0.0639416,-0.965146,0.31028,0,0,-20.7682,0,0,-20.3104,0,0,-29.6896,0,0,-29.2318
20816.1,1,0.06318,1.00691,-0.29253,-0.06302,-0.965075,0.249089,-0.0641039,0.966959,-0.313746,0.0638965,-0.964609,0.309257,0,0,-20.7548,0,0,-20.3103,0,0,-29.6897,0,0,-29.2452
